GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qe-2020-week2,org.sit.qe.util,CollectionUtils,69,35,11,5,15,8,9,2,2,1
qe-2020-week2,org.sit.qe.util,StringUtils,368,0,46,0,82,0,29,0,6,0
